Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
1,15.983333,63,79,12,7,9,0
1,15.983333,62,72,10,8,9,0
1,15.983333,65,57,12,8,9,0
1,15.983333,70,52,10,6,9,0
4,15.966667,72,60,12,4,9,0
4,15.966667,62,91,14,8,9,0.09
3,15.95,56,94,14,7,20,0.78
0,15.95,59,80,15,10,17,0.03
1,15.933333,60,73,13,7,9,0
1,15.916667,60,69,16,6,9,0
0,15.9,59,59,16,11,23,0
1,15.883333,59,67,16,7,9,0
0,15.866667,58,70,12,7,20,0
0,15.85,60,71,16,9,9,0
0,15.833333,65,55,9,6,9,0
0,15.816667,60,70,13,5,21,0.57
1,15.783333,62,74,16,11,9,0.01
1,15.766667,66,67,14,10,9,0
0,15.733333,74,54,15,9,9,0
1,15.716667,68,56,12,5,9,0
0,15.683333,68,59,10,6,9,0
0,15.666667,69,63,12,7,9,0
0,15.633333,60,76,9,7,16,0
1,15.6,64,60,13,8,9,0
1,15.566667,66,70,8,3,9,0
1,15.533333,66,76,9,6,16,0
0,15.5,68,73,12,7,9,0
1,15.466667,66,72,12,5,21,0
2,15.433333,68,60,16,11,16,0
1,15.4,69,59,12,8,9,0
0,15.366667,77,52,13,10,9,0
1,15.316667,72,63,10,5,9,0
0,15.283333,69,78,8,6,9,0
0,15.25,62,84,12,8,9,0
0,15.2,60,90,14,8,9,0.02
3,15.166667,64,72,9,6,9,0
0,15.116667,60,90,9,6,9,0.01
0,15.083333,62,80,9,6,9,0
0,15.033333,62,80,10,3,16,0.02
0,15,60,61,10,5,9,0
1,14.95,64,65,9,6,9,0
0,14.9,60,66,10,5,9,0
0,14.866667,58,74,12,7,22,0
1,14.816667,58,74,17,11,9,0.01
1,14.766667,58,76,9,6,9,0.02
0,14.716667,60,81,9,6,9,0
1,14.666667,62,67,10,5,9,0
1,14.616667,66,61,10,6,9,0
1,14.566667,68,61,13,7,9,0
